id_cliente,renda,profissao,qt_compras,val_compra,tm_compra,qt_vendas,val_venda,tm_venda,dif_cv,acoes,acoes_dif,ativo_m1,ligou_cr_m1
280249781,De 0 a 5k,B,0.0,0.0,0.0,100.01,2941.26,29.41,-100.01,9900,40,True,False
706585147,De 5 a 10k,A,0.0,0.0,0.0,599.9,9388.48,15.65,-599.9,7800,20,True,False
968252151,De 0 a 5k,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600,5,False,True
395769633,De 5 a 10k,C,0.0,0.0,0.0,400.08,4488.88,11.22,-400.08,7200,30,True,False
909158440,De 5 a 10k,B,200.0,3340.07,16.7,199.98,4143.59,20.72,0.020000000000010232,4400,10,True,True
644112397,De 15 a 20k,C,0.0,0.0,0.0,1199.9,27453.65,22.88,-1199.9,21200,38,True,True
701854497,De 5 a 10k,A,799.88,16373.54,20.47,599.88,8404.28,14.01,200.0,8400,24,True,False
609802585,De 10 a 15k,B,0.0,0.0,0.0,1499.9,43752.15,29.17,-1499.9,16200,50,True,False
185938773,De 10 a 15k,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800,115,True,False
839212286,De 0 a 5k,C,499.81,6647.51,13.3,0.0,0.0,0.0,499.81,3600,18,True,True
573722870,De 5 a 10k,C,999.87,20127.4,20.13,0.0,0.0,0.0,999.87,2400,4,True,False
780855095,De 0 a 5k,A,400.07,7137.3,17.84,0.0,0.0,0.0,400.07,1800,5,True,False
482352430,De 0 a 5k,C,99.96,1001.57,10.02,0.0,0.0,0.0,99.96,5600,10,True,False
150518561,De 0 a 5k,A,100.03,1755.45,17.55,399.93,8782.44,21.96,-299.9,4600,9,True,False
387380805,De 15 a 20k,C,0.0,0.0,0.0,800.12,12265.8,15.33,-800.12,1600,15,True,False
417933034,De 15 a 20k,B,0.0,0.0,0.0,1599.83,41051.67,25.66,-1599.83,15200,29,True,False
148017363,De 0 a 5k,B,299.89,3175.79,10.59,0.0,0.0,0.0,299.89,5500,16,True,True
235488943,De 5 a 10k,C,799.93,23758.0,29.7,0.0,0.0,0.0,799.93,3400,7,True,False
296932141,De 10 a 15k,C,600.06,14257.43,23.76,599.99,7193.87,11.99,0.06999999999993634,27600,46,True,False
700835693,De 5 a 10k,A,0.0,0.0,0.0,999.9,16288.42,16.29,-999.9,8200,18,True,False
107458557,De 10 a 15k,A,299.94,5764.93,19.22,600.14,6151.42,10.25,-300.2,25200,72,True,False
795310128,De 15 a 20k,A,0.0,0.0,0.0,400.0,7323.98,18.31,-400.0,18000,71,True,False
466620199,De 5 a 10k,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18200,173,True,False
611229124,De 0 a 5k,A,500.03,12485.85,24.97,400.05,11037.5,27.59,99.97999999999996,3900,8,True,False
187242430,De 10 a 15k,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000,67,True,False
335634707,De 0 a 5k,A,0.0,0.0,0.0,99.98,1780.69,17.81,-99.98,9000,18,True,False
625071340,De 0 a 5k,A,499.97,11524.21,23.05,0.0,0.0,0.0,499.97,7900,16,True,False
487055567,De 0 a 5k,C,199.98,4979.51,24.9,0.0,0.0,0.0,199.98,500,1,False,True
916125193,De 5 a 10k,C,0.0,0.0,0.0,199.94,2579.17,12.9,-199.94,5200,14,True,True
925957560,De 0 a 5k,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9100,31,False,True
897762013,De 5 a 10k,A,600.05,11964.99,19.94,0.0,0.0,0.0,600.05,18400,40,True,False
986757011,De 10 a 15k,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29700,179,True,False
834755998,De 15 a 20k,C,799.93,13590.73,16.99,1600.25,24963.87,15.6,-800.32,39200,138,True,False
540733944,De 5 a 10k,C,0.0,0.0,0.0,1000.05,28521.52,28.52,-1000.05,1400,4,True,False
483573823,De 0 a 5k,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100,4,True,False
733354533,De 0 a 5k,B,200.0,3150.0,15.75,0.0,0.0,0.0,200.0,9600,22,True,False
572801436,De 0 a 5k,C,199.96,4433.06,22.17,200.01,5202.33,26.01,-0.04999999999998295,4600,17,True,False
227234363,De 0 a 5k,C,199.95,3443.15,17.22,0.0,0.0,0.0,199.95,2000,5,True,False
674014555,De 0 a 5k,A,500.0,8690.0,17.38,0.0,0.0,0.0,500.0,3700,8,True,False
122251259,De 10 a 15k,C,299.98,7523.56,25.08,1199.6,16398.59,13.67,-899.6199999999999,27900,58,True,False
693655906,De 0 a 5k,C,400.08,7881.62,19.7,200.01,5922.39,29.61,200.07,9300,25,True,True
115415786,De 5 a 10k,A,399.95,7879.1,19.7,200.0,4504.08,22.52,199.95,6200,17,True,False
712871641,De 5 a 10k,A,1000.01,28540.38,28.54,0.0,0.0,0.0,1000.01,19600,165,True,False
953598490,De 10 a 15k,A,1200.01,35076.37,29.23,599.94,7715.24,12.86,600.0699999999999,28800,60,True,False
